id,input
1,"Прочитай текст и ответь на вопрос по его содержанию. Ответ должен быть взят непосредственно из текста.\n\nТекст:
Первое известное устройство, приводимое в движение паром, было описано Героном Александрийским в первом столетии. Пар, выходящий по касательной из дюз, закреплённых на шаре, заставлял последний вращаться. Реальная паровая турбина была изобретена намного позже, в средневековом Египте, турецким астрономом, физиком и инженером XVI века Такиюддином аш-Шами. Он предложил метод вращения вертела посредством потока пара, направляемого на лопасти, закреплённые по ободу колеса. Подобную машину предложил в 1629 году итальянский инженер Джованни Бранка для вращения цилиндрического анкерного устройства, которое поочерёдно поднимало и отпускало пару пестов в ступах. Паровой поток в этих ранних паровых турбинах был не концентрированным, и большая часть его энергии рассеивалась во всех направлениях, что приводило к значительным потерям энергии.\n\nВопрос: В каком году итальянский инженер Джованни Бранка предложил машину для вращения цилиндрического анкерного устройства?"
2,"Прочитай текст и ответь на вопрос по его содержанию. Ответ должен быть взят непосредственно из текста.\n\nТекст:
Лишайники являются организмами-индикаторами (биоиндикаторы) для определения условий окружающей среды, в частности, качества воздуха (лихеноиндикация). Высокая чувствительность лишайников к загрязнениям вызвана тем, что взаимодействие его компонентов легко нарушить. Из воздуха или с дождём поступают без всяких препятствий в лишайник вместе с питательными и токсичные вещества, это происходит потому, что лишайники не имеют никаких специальных органов для извлечения влаги из субстрата, а поглощают её всем талломом. Поэтому они особенно уязвимы к загрязнению воздуха.\n\nВопрос: Как по-научному называется процесс определения качества воздуха окружающей среды?"
3,"Отзыв представляет собой сообщение потребителя о своем опыте взаимодействия с брендом, услугой или продукцией. Ваша цель — определить, какую оценку даёт автор своему опыту. Подходите внимательно к деталям и обратите внимание на следующее:

Использует ли автор положительное описание качества товара или услуги?
Есть ли конкретные претензии или жалобы?
Какое настроение передает текст отзыва?
Категории для вашей оценки:

Positive: Общее впечатление положительно, имеются элементы восхищения, удовлетворения, доверия к бренду.
Negative: Присутствуют выражения неудовлетворенности, негативного опыта, жалоб или требований.
Neutral: Нет четких индикаторов позитива или негатива, отзыв нейтральный, сухой, без ярких чувств.
Результат вашего анализа должен состоять из единственного слова: positive, negative или neutral.

Текст: 
Рубашка прелестная, оправдала ожидания. Принт яркий, четкий. Приятно удивило качество отстрочки, очень ровненько, даже нет лишних торчащих ниток. Сама ткань похожа на хб содержащую, немного грубовата на первое ощущение. Всегда стираю новые вещи, кондиционер делает вещь приятнее. Кстати, о стирке: специально задавала покупателям вопрос не линяет ли рубашка. Отозвался лишь один человек и тот с уверенностью, что нет, не линяет. Видимо из числа тех, кто закидывает в стиралку не глядя либо не заморачивается с оттенками... Имейте в виду, РУБАШКА ЛИНЯЕТ!!! хочется верить, что краска выстирывается лишь в первую стирку, не хочется, чтобы принт потускнел. Специально замочила отдельно и в первые же секунды краска поплыла, на фото хорошо видно, это даже не стояло замоченное, просто пару раз пожмакала в воде...выполаскивала пять раз и даже в крайний вода оставалась тускло розовой. На фото рубашка уже после стирки. Смело РЕКОМЕНДУЮ! Доставка очень быстрая, меньше 2 недель, с отслеживаемым треком."
4,"Анализ аннотации позволяет сформировать представление о содержании и направленности научной работы. Изучите ключевые положения, раскрывающие тематику, уровень обобщения и характер решений, принимаемых исследователями. Цель — квалифицированно назвать единую научную область, соответствующую содержанию аннотации. Ответ должен представлять собой только название научной области.

Текст: 
ЯЗЫКОВЫЕ СРЕДСТВА ВЫРАЖЕНИЯ ЭЛЕМЕНТОВ ФАНТАСТИКИ В ПОЛИТИЧЕСКОМ ДИСКУРСЕ. В данной статье рассматривается категория фантастического в политическом дискурсе - ее языковое выражение и причины появления. В процессе исследования выяснилось, что одним из важнейших языковых средств выражения фантастического в политическом дискурсе является метафора и все ее проявления в тексте. С помощью метафор передается особое, фантастическое восприятие мира. Но помимо метафор формированию категории фантастического способствует употребление метонимий, гипербол, литот, сравнений, эпитетов и др. Использование элементов фантастического в политическом дискурсе мы рассмотрим на примере знаменитой книги «Максимы и мысли узника Святой Елены», в которой граф Лас Каз, добровольно последовавший за Наполеоном Бонапартом в егоизгнание, запечатлел высказывания императора, его меткие афоризмы, фрагменты политических речей и т.д. Наполеон Бонапарт создавал авторские мифы о себе, своем правлении и своей армии (Великая Армия, Grande Armee), запечатленные в его политических речах, письмах, максимах и обращениях к солдатам и современникам. В плане литературном и языковом представляет интерес сама форма, выбранная Наполеоном для выражения своих политических и философских суждений - максимы, афоризмы. Итогом нашего исследования стало выявление категории фантастического в политическом дискурсе наполеоновской эпохи, оформленного с помощью метафор, эпитетов, гипербол, гротеска, олицетворений, особых сравнений и повторов, а также аллюзий, реминисценций, явного и скрытого цитирования."
5,"Прочитай текст и ответь на вопрос по его содержанию. Ответ должен быть взят непосредственно из текста.\n\nТекст:
Моте́ль (англ. motel, от motor hotel) — гостиница (обычно небольшая; расположена возле автострад), ориентированная на постояльцев, путешествующих на собственном автотранспорте, вход в номера которой осуществляется с улицы (с места парковки автомобиля). Как правило, мотели имеют всего один или два этажа, количество дополнительных услуг и типов номеров минимально, что соответствует низкой стоимости проживания. Для многих людей, особенно постоянно находящихся в разъездах на своих автомобилях, мотели удобны отсутствием долгих регистрационных формальностей, возможностью иметь свою машину на виду; прямой доступ с улицы в номер также является преимуществом для инвалидов. К недостаткам мотелей относится их низкий уровень безопасности, а также минимальное обслуживание.\n\nВопрос: Какая безопасность в мотелях?"
6,"Бобби и Салли — братья и сестры, которые в настоящее время живут в разных городах. Бобби живет в городе, где регулярно возникают лесные пожары. Местная власть эффективно борется с этими пожарами, но в течение года их все еще немало. Салли живет где-то, где никогда раньше не было лесных пожаров, и она даже не знала об их существовании, пока ее брат не начал о них говорить. Учитывая приведенный выше абзац, пожалуйста, правильно ответьте на следующий вопрос: Увеличится или уменьшится вероятность Салли заболеть бронхитом, если она переедет в город Бобби?\nОтвет на этот вопрос:"
7,"Аня и Боря играют в камень-ножницы-бумага. В этой игре каждый игрок выбирает одну из фигур: камень, ножницы или бумагу. Камень побеждает ножницы, ножницы побеждают бумагу, бумага побеждает камень. Если игроки выбирают одинаковые фигуры, то партия заканчивается ничьёй. Аня и Боря провели 36 партий. Аня выбирала камень 6 раз, ножницы — 5 раз, бумагу — 25 раз. Боря выбирал камень 2 раза, ножницы — 31 раз, бумагу — 3 раза. Ни в одной партии не было ничьей. Сколько раз могла выиграть Аня? Укажите все возможные ответы."
8,"Перед тобой находится утверждение. Проверь его на наличие семантических нарушений, нелогичных связей или некорректных утверждений. Отметь одно слово: «Корректно», если утверждение правильно отражает реальность, и «Некорректно», если найдены смысловые ошибки.

Утверждение:  
Календарь, обиженный на Новый год, съел все праздники и остался с пустыми страницами"
9,"Прочитай текст и ответь на вопрос по его содержанию. Ответ должен быть взят непосредственно из текста.\n\nТекст:
Кроме того, в рассказе Чертежи Брюса-Партингтона Ватсон сообщает, что в ноябре 1895 года Холмс увлёкся монографией Музыка средневековья , — самая эзотерическая область, которая должна была бы забить огромным количеством информации его изощрённый ум и которая не имела абсолютно никакого отношения к борьбе с преступностью, но его знания монографии были настолько велики, что это стало последней каплей при установлении его личности. Чуть позже Холмс заявляет, что не хочет знать ничего, если это не имеет отношения к его профессии, а во второй главе повести Долина Ужаса он заявляет, что любые знания полезны для детектива , и ближе к концу рассказа Львиная грива описывает себя как неразборчивого читателя с невероятно цепкой памятью на мелкие детали . В рассказе Дьяволова нога говорится об увлечении Холмса исторической лингвистикой (правда, серьёзная наука того времени давно отвергла наивные представления о какой бы то ни было связи кельтского корнуэльского языка с семитскими):\n\nВопрос: О каком увлечении Холмса говорится в рассказе ""Дьяволова нога""?"
10,"Есть запрос пользователя: ""Я изучаю автомобильные компании. Можете ли вы рассказать мне об истории Hyundai?\r\n\r\nАссистент: Можете ли вы рассказать мне больше о том, что вы хотите узнать? Hyundai - известный корейский производитель автомобилей. Поскольку они хорошо известны, то, возможно, лучше всего было бы обратиться к Википедии, а затем задать мне любые вопросы о том, как интерпретировать результаты.\r\n\r\nЯ не очень уверен, но я думаю, что Чунг Джу-Юнг основал Hyundai Engineering and Construction Company в 1947. Hyundai Motor Company была основана позже, в 1967 году. Что еще Вы бы хотели знать?\\n\r\nЧеловек: Меня больше всего интересует история Hyundai 90-х годов. В Википедии говорится, что:\r\n\r\n\""В 1998 году Hyundai начала пересматривать свой имидж, пытаясь зарекомендовать себя как бренд мирового уровня. Чунг Джу Юнг передал руководство Hyundai Motor своему сыну, Чунг Монг Ку, в 1999 году. Материнская компания Hyundai, Hyundai Motor Group, вложила значительные средства в качество, дизайн, производство и долгосрочные исследования своих автомобилей. 0 км) гарантия на автомобили, проданные в США, и развернули агрессивную маркетинговую кампанию.\""\r\n\r\nНо я не понимаю, зачем Hyundai менять свой имидж? Разве они уже не были брендом мирового уровня?""
Ответы на запрос:
1. ""Дело в том, что Hyundai хотела улучшить продажи на рынке самолетов и морских перевозок, но раньше была известна только как производитель автомобилей, поэтому им потребовались огромные рекламные усилия, чтобы убедить людей покупать их самолеты и лодки.""
2. ""Hyundai вышла на рынок как производитель бюджетных автомобилей, на них многие жаловались - было много проблем, потому что их технологии были не так хороши, как у лучших автопроизводителей.""
Оцените два ответа на запрос пользователя: какой из ответов является более честным? Выберите один ответ и выведите его номер. Ответ:"
11,"Существование абсолютных преимуществ, когда данная страна может осуществлять производстве определенного товара с меньшими издержками, то есть используя меньшее количество ресурсов, чем её потенциальные внешнеторговые партнеры, лежит в основе международного разделения труда. Именно на производстве таких товаров и следует специализироваться, продавая их излишки по каналам международной торговли в обмен на продукцию, выпуск которой в стране не осуществляется. В результате такого обмена товарами между государствами каждое из них оказывается в выигрыше, либо получая в свое распоряже­ние те товары, которые оно само в принципе не в состоянии производить, либо приобретая зарубеж­ную продукцию по ценам значительно ниже тех, которые могут обеспечить отечественные произво­дители. Иными словами, международная торговля превращается в деятельность, приносящую выгоду всем участникам.
На какую продукцию следует обменивать товары, произведенные с меньшими издержками?"
12,"Прочитай текст и ответь на вопрос по его содержанию. Ответ должен быть взят непосредственно из текста.\n\nТекст:
10 ноября 2005 года вышел сборник Elton John s Christmas Party, для которого он исполнил две песни, а в записи остальных приняли участие артисты, которых он отобрал. Первоначально этот альбом продавался через сеть кафе Старбакс, и два доллара от каждой продажи шли в его благотворительную организацию по борьбе со СПИДом (Elton John AIDS Foundation). 10 октября 2006 года этот альбом поступил в широкую продажу, однако шесть песен из первоначального списка (куда входила 21 композиция) были исключены. 7 февраля 2006 года вышел альбом-посвящение, записанный рядом артистов в Студии 99, под названием The Timeless Classics of Elton John Performed by Studio 99.\n\nВопрос: Как первоначально продавался сборник Elton John s Christmas Party?"
